Datai,Dataf,P15,Livello
2023-05-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,0,0.13
2023-05-01 00:15:00+00:00,2023-05-01 00:15:00+00:00,0,0.14
2023-05-01 00:30:00+00:00,2023-05-01 00:30:00+00:00,0,0.13
2023-05-01 00:45:00+00:00,2023-05-01 00:45:00+00:00,0,0.14
2023-05-01 01:00:00+00:00,2023-05-01 01:00:00+00:00,0,0.14
2023-05-01 01:15:00+00:00,2023-05-01 01:15:00+00:00,0,0.14
2023-05-01 01:30:00+00:00,2023-05-01 01:30:00+00:00,0,0.14
2023-05-01 01:45:00+00:00,2023-05-01 01:45:00+00:00,0,0.14
2023-05-01 02:00:00+00:00,2023-05-01 02:00:00+00:00,0,0.13
2023-05-01 02:15:00+00:00,2023-05-01 02:15:00+00:00,0,0.14
2023-05-01 02:30:00+00:00,2023-05-01 02:30:00+00:00,0,0.13
2023-05-01 02:45:00+00:00,2023-05-01 02:45:00+00:00,0,0.14
2023-05-01 03:00:00+00:00,2023-05-01 03:00:00+00:00,0,0.13
2023-05-01 03:15:00+00:00,2023-05-01 03:15:00+00:00,0,0.14
2023-05-01 03:30:00+00:00,2023-05-01 03:30:00+00:00,0,0.14
2023-05-01 03:45:00+00:00,2023-05-01 03:45:00+00:00,0,0.14
2023-05-01 04:00:00+00:00,2023-05-01 04:00:00+00:00,0,0.13
2023-05-01 04:15:00+00:00,2023-05-01 04:15:00+00:00,0,0.13
2023-05-01 04:30:00+00:00,2023-05-01 04:30:00+00:00,0,0.14
2023-05-01 04:45:00+00:00,2023-05-01 04:45:00+00:00,0,0.14
2023-05-01 05:00:00+00:00,2023-05-01 05:00:00+00:00,0,0.14
2023-05-01 05:15:00+00:00,2023-05-01 05:15:00+00:00,0,0.14
2023-05-01 05:30:00+00:00,2023-05-01 05:30:00+00:00,0,0.14
2023-05-01 05:45:00+00:00,2023-05-01 05:45:00+00:00,0,0.14
2023-05-01 06:00:00+00:00,2023-05-01 06:00:00+00:00,0,0.13
2023-05-01 06:15:00+00:00,2023-05-01 06:15:00+00:00,0,0.14
2023-05-01 06:30:00+00:00,2023-05-01 06:30:00+00:00,0,0.14
2023-05-01 06:45:00+00:00,2023-05-01 06:45:00+00:00,0,0.14
2023-05-01 07:00:00+00:00,2023-05-01 07:00:00+00:00,0,0.13
2023-05-01 07:15:00+00:00,2023-05-01 07:15:00+00:00,0,0.13
2023-05-01 07:30:00+00:00,2023-05-01 07:30:00+00:00,0,0.13
2023-05-01 07:45:00+00:00,2023-05-01 07:45:00+00:00,0,0.13
2023-05-01 08:00:00+00:00,2023-05-01 08:00:00+00:00,0,0.13
2023-05-01 08:15:00+00:00,2023-05-01 08:15:00+00:00,0,0.13
2023-05-01 08:30:00+00:00,2023-05-01 08:30:00+00:00,0,0.13
2023-05-01 08:45:00+00:00,2023-05-01 08:45:00+00:00,0,0.13
2023-05-01 09:00:00+00:00,2023-05-01 09:00:00+00:00,0,0.13
2023-05-01 09:15:00+00:00,2023-05-01 09:15:00+00:00,0,0.13
2023-05-01 09:30:00+00:00,2023-05-01 09:30:00+00:00,0,0.13
2023-05-01 09:45:00+00:00,2023-05-01 09:45:00+00:00,0,0.13
2023-05-01 10:00:00+00:00,2023-05-01 10:00:00+00:00,0,0.13
2023-05-01 10:15:00+00:00,2023-05-01 10:15:00+00:00,0,0.14
2023-05-01 10:30:00+00:00,2023-05-01 10:30:00+00:00,0,0.14
2023-05-01 10:45:00+00:00,2023-05-01 10:45:00+00:00,0,0.14
2023-05-01 11:00:00+00:00,2023-05-01 11:00:00+00:00,0,0.13
2023-05-01 11:15:00+00:00,2023-05-01 11:15:00+00:00,0,0.13
2023-05-01 11:30:00+00:00,2023-05-01 11:30:00+00:00,0,0.14
2023-05-01 11:45:00+00:00,2023-05-01 11:45:00+00:00,0,0.13
2023-05-01 12:00:00+00:00,2023-05-01 12:00:00+00:00,0.2,0.13
2023-05-01 12:15:00+00:00,2023-05-01 12:15:00+00:00,0,0.13
2023-05-01 12:30:00+00:00,2023-05-01 12:30:00+00:00,0,0.13
2023-05-01 12:45:00+00:00,2023-05-01 12:45:00+00:00,0,0.13
2023-05-01 13:00:00+00:00,2023-05-01 13:00:00+00:00,0,0.14
2023-05-01 13:15:00+00:00,2023-05-01 13:15:00+00:00,0,0.13
2023-05-01 13:30:00+00:00,2023-05-01 13:30:00+00:00,0,0.14
2023-05-01 13:45:00+00:00,2023-05-01 13:45:00+00:00,0,0.13
2023-05-01 14:00:00+00:00,2023-05-01 14:00:00+00:00,0.2,0.13
2023-05-01 14:15:00+00:00,2023-05-01 14:15:00+00:00,0,0.13
2023-05-01 14:30:00+00:00,2023-05-01 14:30:00+00:00,0.2,0.13
2023-05-01 14:45:00+00:00,2023-05-01 14:45:00+00:00,0.2,0.13
2023-05-01 15:00:00+00:00,2023-05-01 15:00:00+00:00,0.2,0.13
2023-05-01 15:15:00+00:00,2023-05-01 15:15:00+00:00,0.2,0.13
2023-05-01 15:30:00+00:00,2023-05-01 15:30:00+00:00,0.6,0.13
2023-05-01 15:45:00+00:00,2023-05-01 15:45:00+00:00,0.8,0.13
2023-05-01 16:00:00+00:00,2023-05-01 16:00:00+00:00,1.4,0.13
2023-05-01 16:15:00+00:00,2023-05-01 16:15:00+00:00,0.8,0.14
2023-05-01 16:30:00+00:00,2023-05-01 16:30:00+00:00,0.6,0.13
2023-05-01 16:45:00+00:00,2023-05-01 16:45:00+00:00,1.6,0.14
2023-05-01 17:00:00+00:00,2023-05-01 17:00:00+00:00,0.8,0.14
2023-05-01 17:15:00+00:00,2023-05-01 17:15:00+00:00,0.6,0.14
2023-05-01 17:30:00+00:00,2023-05-01 17:30:00+00:00,1.6,0.15
2023-05-01 17:45:00+00:00,2023-05-01 17:45:00+00:00,2.4,0.15
2023-05-01 18:00:00+00:00,2023-05-01 18:00:00+00:00,0.6,0.15
2023-05-01 18:15:00+00:00,2023-05-01 18:15:00+00:00,0.8,0.15
2023-05-01 18:30:00+00:00,2023-05-01 18:30:00+00:00,1.2,0.15
2023-05-01 18:45:00+00:00,2023-05-01 18:45:00+00:00,1.2,0.15
2023-05-01 19:00:00+00:00,2023-05-01 19:00:00+00:00,2.8,0.15
2023-05-01 19:15:00+00:00,2023-05-01 19:15:00+00:00,2.2,0.15
2023-05-01 19:30:00+00:00,2023-05-01 19:30:00+00:00,2.2,0.16
2023-05-01 19:45:00+00:00,2023-05-01 19:45:00+00:00,1.2,0.16
2023-05-01 20:00:00+00:00,2023-05-01 20:00:00+00:00,1.2,0.16
2023-05-01 20:15:00+00:00,2023-05-01 20:15:00+00:00,0.6,0.16
2023-05-01 20:30:00+00:00,2023-05-01 20:30:00+00:00,1,0.16
2023-05-01 20:45:00+00:00,2023-05-01 20:45:00+00:00,0.8,0.16
2023-05-01 21:00:00+00:00,2023-05-01 21:00:00+00:00,0.6,0.17
2023-05-01 21:15:00+00:00,2023-05-01 21:15:00+00:00,0.8,0.17
2023-05-01 21:30:00+00:00,2023-05-01 21:30:00+00:00,1,0.4
2023-05-01 21:45:00+00:00,2023-05-01 21:45:00+00:00,0.6,0.52
2023-05-01 22:00:00+00:00,2023-05-01 22:00:00+00:00,1.4,0.66
2023-05-01 22:15:00+00:00,2023-05-01 22:15:00+00:00,2.4,0.69
2023-05-01 22:30:00+00:00,2023-05-01 22:30:00+00:00,1.6,0.68
2023-05-01 22:45:00+00:00,2023-05-01 22:45:00+00:00,1.8,0.71
2023-05-01 23:00:00+00:00,2023-05-01 23:00:00+00:00,2.8,0.72
2023-05-01 23:15:00+00:00,2023-05-01 23:15:00+00:00,2.8,0.76
2023-05-01 23:30:00+00:00,2023-05-01 23:30:00+00:00,3.6,0.86
2023-05-01 23:45:00+00:00,2023-05-01 23:45:00+00:00,2.2,0.96
2023-05-02 00:00:00+00:00,2023-05-02 00:00:00+00:00,1.2,1.09
2023-05-02 00:15:00+00:00,2023-05-02 00:15:00+00:00,2,1.17
2023-05-02 00:30:00+00:00,2023-05-02 00:30:00+00:00,1.4,1.23
2023-05-02 00:45:00+00:00,2023-05-02 00:45:00+00:00,1,1.26
2023-05-02 01:00:00+00:00,2023-05-02 01:00:00+00:00,1,1.25
2023-05-02 01:15:00+00:00,2023-05-02 01:15:00+00:00,1.2,1.28
2023-05-02 01:30:00+00:00,2023-05-02 01:30:00+00:00,1.8,1.3
2023-05-02 01:45:00+00:00,2023-05-02 01:45:00+00:00,1.8,1.24
2023-05-02 02:00:00+00:00,2023-05-02 02:00:00+00:00,1.2,1.25
2023-05-02 02:15:00+00:00,2023-05-02 02:15:00+00:00,0.8,1.23
2023-05-02 02:30:00+00:00,2023-05-02 02:30:00+00:00,0.8,1.27
2023-05-02 02:45:00+00:00,2023-05-02 02:45:00+00:00,1,1.27
2023-05-02 03:00:00+00:00,2023-05-02 03:00:00+00:00,1.4,1.34
2023-05-02 03:15:00+00:00,2023-05-02 03:15:00+00:00,1.4,1.31
2023-05-02 03:30:00+00:00,2023-05-02 03:30:00+00:00,1,1.26
2023-05-02 03:45:00+00:00,2023-05-02 03:45:00+00:00,1.4,1.21
2023-05-02 04:00:00+00:00,2023-05-02 04:00:00+00:00,2.2,1.24
2023-05-02 04:15:00+00:00,2023-05-02 04:15:00+00:00,2,1.27
2023-05-02 04:30:00+00:00,2023-05-02 04:30:00+00:00,2,1.26
2023-05-02 04:45:00+00:00,2023-05-02 04:45:00+00:00,1.6,1.3
2023-05-02 05:00:00+00:00,2023-05-02 05:00:00+00:00,1.4,1.37
2023-05-02 05:15:00+00:00,2023-05-02 05:15:00+00:00,1.2,1.41
2023-05-02 05:30:00+00:00,2023-05-02 05:30:00+00:00,1,1.44
2023-05-02 05:45:00+00:00,2023-05-02 05:45:00+00:00,1.2,1.53
2023-05-02 06:00:00+00:00,2023-05-02 06:00:00+00:00,0.8,1.57
2023-05-02 06:15:00+00:00,2023-05-02 06:15:00+00:00,0.6,1.54
2023-05-02 06:30:00+00:00,2023-05-02 06:30:00+00:00,0.8,1.53
2023-05-02 06:45:00+00:00,2023-05-02 06:45:00+00:00,1.2,1.54
2023-05-02 07:00:00+00:00,2023-05-02 07:00:00+00:00,1.2,1.49
2023-05-02 07:15:00+00:00,2023-05-02 07:15:00+00:00,1.8,1.49
2023-05-02 07:30:00+00:00,2023-05-02 07:30:00+00:00,2.4,1.4
2023-05-02 07:45:00+00:00,2023-05-02 07:45:00+00:00,2.4,1.45
2023-05-02 08:00:00+00:00,2023-05-02 08:00:00+00:00,2.6,1.51
2023-05-02 08:15:00+00:00,2023-05-02 08:15:00+00:00,2,1.58
2023-05-02 08:30:00+00:00,2023-05-02 08:30:00+00:00,2.8,1.69
2023-05-02 08:45:00+00:00,2023-05-02 08:45:00+00:00,2.6,1.69
2023-05-02 09:00:00+00:00,2023-05-02 09:00:00+00:00,3,1.77
2023-05-02 09:15:00+00:00,2023-05-02 09:15:00+00:00,2,1.84
2023-05-02 09:30:00+00:00,2023-05-02 09:30:00+00:00,2.6,1.85
2023-05-02 09:45:00+00:00,2023-05-02 09:45:00+00:00,2.2,1.87
2023-05-02 10:00:00+00:00,2023-05-02 10:00:00+00:00,2,1.89
2023-05-02 10:15:00+00:00,2023-05-02 10:15:00+00:00,0.8,1.92
2023-05-02 10:30:00+00:00,2023-05-02 10:30:00+00:00,0.8,1.89
2023-05-02 10:45:00+00:00,2023-05-02 10:45:00+00:00,1.2,1.86
2023-05-02 11:00:00+00:00,2023-05-02 11:00:00+00:00,1.2,1.87
2023-05-02 11:15:00+00:00,2023-05-02 11:15:00+00:00,1,1.83
2023-05-02 11:30:00+00:00,2023-05-02 11:30:00+00:00,1.4,1.73
2023-05-02 11:45:00+00:00,2023-05-02 11:45:00+00:00,1.6,1.69
2023-05-02 12:00:00+00:00,2023-05-02 12:00:00+00:00,1.2,1.65
2023-05-02 12:15:00+00:00,2023-05-02 12:15:00+00:00,1,1.61
2023-05-02 12:30:00+00:00,2023-05-02 12:30:00+00:00,1,1.62
2023-05-02 12:45:00+00:00,2023-05-02 12:45:00+00:00,2,1.6
2023-05-02 13:00:00+00:00,2023-05-02 13:00:00+00:00,1.4,1.6
2023-05-02 13:15:00+00:00,2023-05-02 13:15:00+00:00,1.4,1.6
2023-05-02 13:30:00+00:00,2023-05-02 13:30:00+00:00,1.2,1.6
2023-05-02 13:45:00+00:00,2023-05-02 13:45:00+00:00,1.4,1.62
2023-05-02 14:00:00+00:00,2023-05-02 14:00:00+00:00,1.2,1.64
2023-05-02 14:15:00+00:00,2023-05-02 14:15:00+00:00,1.4,1.57
2023-05-02 14:30:00+00:00,2023-05-02 14:30:00+00:00,1.8,1.6
2023-05-02 14:45:00+00:00,2023-05-02 14:45:00+00:00,1.6,1.55
2023-05-02 15:00:00+00:00,2023-05-02 15:00:00+00:00,1.2,1.62
2023-05-02 15:15:00+00:00,2023-05-02 15:15:00+00:00,0.6,1.57
2023-05-02 15:30:00+00:00,2023-05-02 15:30:00+00:00,0.6,1.6
2023-05-02 15:45:00+00:00,2023-05-02 15:45:00+00:00,0.8,1.58
2023-05-02 16:00:00+00:00,2023-05-02 16:00:00+00:00,0.6,1.54
2023-05-02 16:15:00+00:00,2023-05-02 16:15:00+00:00,0.8,1.48
2023-05-02 16:30:00+00:00,2023-05-02 16:30:00+00:00,1.2,1.38
2023-05-02 16:45:00+00:00,2023-05-02 16:45:00+00:00,1.4,1.35
2023-05-02 17:00:00+00:00,2023-05-02 17:00:00+00:00,1.2,1.31
2023-05-02 17:15:00+00:00,2023-05-02 17:15:00+00:00,1.2,1.31
2023-05-02 17:30:00+00:00,2023-05-02 17:30:00+00:00,1,1.27
