data,Datai,Dataf,P15,Livello,WHC
25/03/2015 15:30,2015-03-25 15:15:00+00:00,2015-03-25 15:30:00+00:00,1.8,1.54,
25/03/2015 15:45,2015-03-25 15:30:00+00:00,2015-03-25 15:45:00+00:00,1.4,,
25/03/2015 16:00,2015-03-25 15:45:00+00:00,2015-03-25 16:00:00+00:00,0.4,1.64,
25/03/2015 16:15,2015-03-25 16:00:00+00:00,2015-03-25 16:15:00+00:00,0.4,,
25/03/2015 16:30,2015-03-25 16:15:00+00:00,2015-03-25 16:30:00+00:00,0,1.31,
25/03/2015 16:45,2015-03-25 16:30:00+00:00,2015-03-25 16:45:00+00:00,0,,
25/03/2015 17:00,2015-03-25 16:45:00+00:00,2015-03-25 17:00:00+00:00,0.2,0.88,
25/03/2015 17:15,2015-03-25 17:00:00+00:00,2015-03-25 17:15:00+00:00,0,,
25/03/2015 17:30,2015-03-25 17:15:00+00:00,2015-03-25 17:30:00+00:00,0.2,0.57,
25/03/2015 17:45,2015-03-25 17:30:00+00:00,2015-03-25 17:45:00+00:00,0,,
25/03/2015 18:00,2015-03-25 17:45:00+00:00,2015-03-25 18:00:00+00:00,0,0.41,
25/03/2015 18:15,2015-03-25 18:00:00+00:00,2015-03-25 18:15:00+00:00,0,,
25/03/2015 18:30,2015-03-25 18:15:00+00:00,2015-03-25 18:30:00+00:00,0.4,0.34,
25/03/2015 18:45,2015-03-25 18:30:00+00:00,2015-03-25 18:45:00+00:00,0.6,,
25/03/2015 19:00,2015-03-25 18:45:00+00:00,2015-03-25 19:00:00+00:00,0.6,0.3,
25/03/2015 19:15,2015-03-25 19:00:00+00:00,2015-03-25 19:15:00+00:00,0,,
25/03/2015 19:30,2015-03-25 19:15:00+00:00,2015-03-25 19:30:00+00:00,0,0.29,
25/03/2015 19:45,2015-03-25 19:30:00+00:00,2015-03-25 19:45:00+00:00,0,,
25/03/2015 20:00,2015-03-25 19:45:00+00:00,2015-03-25 20:00:00+00:00,0.2,0.29,
25/03/2015 20:15,2015-03-25 20:00:00+00:00,2015-03-25 20:15:00+00:00,0,,
