Datai,Dataf,P30,Livello
2010-03-04 14:30:00+00:00,2010-03-04 15:00:00+00:00,0,0.6
2010-03-04 15:00:00+00:00,2010-03-04 15:30:00+00:00,0,0.56
2010-03-04 15:30:00+00:00,2010-03-04 16:00:00+00:00,0,0.53
2010-03-04 16:00:00+00:00,2010-03-04 16:30:00+00:00,0,0.5
2010-03-04 16:30:00+00:00,2010-03-04 17:00:00+00:00,0,0.46
2010-03-04 17:00:00+00:00,2010-03-04 17:30:00+00:00,0,0.45
2010-03-04 17:30:00+00:00,2010-03-04 18:00:00+00:00,0,0.44
2010-03-04 18:00:00+00:00,2010-03-04 18:30:00+00:00,0,0.42
2010-03-04 18:30:00+00:00,2010-03-04 19:00:00+00:00,0,0.42
2010-03-04 19:00:00+00:00,2010-03-04 19:30:00+00:00,0,0.39
2010-03-04 19:30:00+00:00,2010-03-04 20:00:00+00:00,0,0.38
2010-03-04 20:00:00+00:00,2010-03-04 20:30:00+00:00,0,0.38
2010-03-04 20:30:00+00:00,2010-03-04 21:00:00+00:00,0,0.37
2010-03-04 21:00:00+00:00,2010-03-04 21:30:00+00:00,0,0.37
2010-03-04 21:30:00+00:00,2010-03-04 22:00:00+00:00,0,0.36
2010-03-04 22:00:00+00:00,2010-03-04 22:30:00+00:00,0,0.35
2010-03-04 22:30:00+00:00,2010-03-04 23:00:00+00:00,0,0.35
2010-03-04 23:00:00+00:00,2010-03-04 23:30:00+00:00,0,0.34
2010-03-04 23:30:00+00:00,2010-03-05 00:00:00+00:00,0,0.34
