Datai,Dataf,P30,Livello
2013-12-24 00:00:00+00:00,2013-12-24 00:30:00+00:00,0,0.13
2013-12-24 00:30:00+00:00,2013-12-24 01:00:00+00:00,0,0.13
2013-12-24 01:00:00+00:00,2013-12-24 01:30:00+00:00,0,0.13
2013-12-24 01:30:00+00:00,2013-12-24 02:00:00+00:00,0,0.12
2013-12-24 02:00:00+00:00,2013-12-24 02:30:00+00:00,0,0.12
2013-12-24 02:30:00+00:00,2013-12-24 03:00:00+00:00,0,0.12
2013-12-24 03:00:00+00:00,2013-12-24 03:30:00+00:00,0,0.13
2013-12-24 03:30:00+00:00,2013-12-24 04:00:00+00:00,0,0.13
2013-12-24 04:00:00+00:00,2013-12-24 04:30:00+00:00,0,0.12
2013-12-24 04:30:00+00:00,2013-12-24 05:00:00+00:00,0,0.13
2013-12-24 05:00:00+00:00,2013-12-24 05:30:00+00:00,0,0.12
2013-12-24 05:30:00+00:00,2013-12-24 06:00:00+00:00,0,0.12
2013-12-24 06:00:00+00:00,2013-12-24 06:30:00+00:00,0.2,0.12
2013-12-24 06:30:00+00:00,2013-12-24 07:00:00+00:00,0,0.12
2013-12-24 07:00:00+00:00,2013-12-24 07:30:00+00:00,0,0.12
2013-12-24 07:30:00+00:00,2013-12-24 08:00:00+00:00,0,0.13
2013-12-24 08:00:00+00:00,2013-12-24 08:30:00+00:00,0,0.12
2013-12-24 08:30:00+00:00,2013-12-24 09:00:00+00:00,0,0.12
2013-12-24 09:00:00+00:00,2013-12-24 09:30:00+00:00,0,0.13
2013-12-24 09:30:00+00:00,2013-12-24 10:00:00+00:00,0,0.12
2013-12-24 10:00:00+00:00,2013-12-24 10:30:00+00:00,0,0.12
2013-12-24 10:30:00+00:00,2013-12-24 11:00:00+00:00,0,0.13
2013-12-24 11:00:00+00:00,2013-12-24 11:30:00+00:00,0,0.13
2013-12-24 11:30:00+00:00,2013-12-24 12:00:00+00:00,0,0.12
2013-12-24 12:00:00+00:00,2013-12-24 12:30:00+00:00,0,0.13
2013-12-24 12:30:00+00:00,2013-12-24 13:00:00+00:00,0,0.13
2013-12-24 13:00:00+00:00,2013-12-24 13:30:00+00:00,0,0.12
2013-12-24 13:30:00+00:00,2013-12-24 14:00:00+00:00,0,0.12
2013-12-24 14:00:00+00:00,2013-12-24 14:30:00+00:00,0,0.13
2013-12-24 14:30:00+00:00,2013-12-24 15:00:00+00:00,0,0.13
2013-12-24 15:00:00+00:00,2013-12-24 15:30:00+00:00,0,0.13
2013-12-24 15:30:00+00:00,2013-12-24 16:00:00+00:00,0,0.13
2013-12-24 16:00:00+00:00,2013-12-24 16:30:00+00:00,0,0.12
2013-12-24 16:30:00+00:00,2013-12-24 17:00:00+00:00,0,0.12
2013-12-24 17:00:00+00:00,2013-12-24 17:30:00+00:00,0,0.12
2013-12-24 17:30:00+00:00,2013-12-24 18:00:00+00:00,0,0.12
2013-12-24 18:00:00+00:00,2013-12-24 18:30:00+00:00,0,0.13
2013-12-24 18:30:00+00:00,2013-12-24 19:00:00+00:00,0,0.13
2013-12-24 19:00:00+00:00,2013-12-24 19:30:00+00:00,0,0.14
2013-12-24 19:30:00+00:00,2013-12-24 20:00:00+00:00,0,0.13
2013-12-24 20:00:00+00:00,2013-12-24 20:30:00+00:00,0,0.12
2013-12-24 20:30:00+00:00,2013-12-24 21:00:00+00:00,0,0.12
2013-12-24 21:00:00+00:00,2013-12-24 21:30:00+00:00,0,0.13
2013-12-24 21:30:00+00:00,2013-12-24 22:00:00+00:00,0,0.13
2013-12-24 22:00:00+00:00,2013-12-24 22:30:00+00:00,0,0.13
2013-12-24 22:30:00+00:00,2013-12-24 23:00:00+00:00,0,0.13
2013-12-24 23:00:00+00:00,2013-12-24 23:30:00+00:00,0,0.13
2013-12-24 23:30:00+00:00,2013-12-25 00:00:00+00:00,0,0.12
2013-12-25 00:00:00+00:00,2013-12-25 00:30:00+00:00,0,0.13
2013-12-25 00:30:00+00:00,2013-12-25 01:00:00+00:00,0,0.13
2013-12-25 01:00:00+00:00,2013-12-25 01:30:00+00:00,0,0.15
2013-12-25 01:30:00+00:00,2013-12-25 02:00:00+00:00,0,0.14
2013-12-25 02:00:00+00:00,2013-12-25 02:30:00+00:00,0,0.13
2013-12-25 02:30:00+00:00,2013-12-25 03:00:00+00:00,0,0.13
2013-12-25 03:00:00+00:00,2013-12-25 03:30:00+00:00,0,0.13
2013-12-25 03:30:00+00:00,2013-12-25 04:00:00+00:00,0,0.13
2013-12-25 04:00:00+00:00,2013-12-25 04:30:00+00:00,0,0.13
2013-12-25 04:30:00+00:00,2013-12-25 05:00:00+00:00,0,0.13
2013-12-25 05:00:00+00:00,2013-12-25 05:30:00+00:00,0,0.13
2013-12-25 05:30:00+00:00,2013-12-25 06:00:00+00:00,0,0.13
2013-12-25 06:00:00+00:00,2013-12-25 06:30:00+00:00,0,0.13
2013-12-25 06:30:00+00:00,2013-12-25 07:00:00+00:00,0,0.13
2013-12-25 07:00:00+00:00,2013-12-25 07:30:00+00:00,0,0.13
2013-12-25 07:30:00+00:00,2013-12-25 08:00:00+00:00,0,0.13
2013-12-25 08:00:00+00:00,2013-12-25 08:30:00+00:00,0,0.13
2013-12-25 08:30:00+00:00,2013-12-25 09:00:00+00:00,0,0.13
2013-12-25 09:00:00+00:00,2013-12-25 09:30:00+00:00,0,0.13
2013-12-25 09:30:00+00:00,2013-12-25 10:00:00+00:00,0,0.13
2013-12-25 10:00:00+00:00,2013-12-25 10:30:00+00:00,0,0.13
2013-12-25 10:30:00+00:00,2013-12-25 11:00:00+00:00,0,0.14
