Datai,Dataf,P30,Livello
2014-03-04 00:00:00+00:00,2014-03-04 00:30:00+00:00,0,0.17
2014-03-04 00:30:00+00:00,2014-03-04 01:00:00+00:00,0,0.17
2014-03-04 01:00:00+00:00,2014-03-04 01:30:00+00:00,0,0.16
2014-03-04 01:30:00+00:00,2014-03-04 02:00:00+00:00,0,0.17
2014-03-04 02:00:00+00:00,2014-03-04 02:30:00+00:00,0,0.16
2014-03-04 02:30:00+00:00,2014-03-04 03:00:00+00:00,0,0.17
2014-03-04 03:00:00+00:00,2014-03-04 03:30:00+00:00,0,0.17
2014-03-04 03:30:00+00:00,2014-03-04 04:00:00+00:00,0.2,0.17
2014-03-04 04:00:00+00:00,2014-03-04 04:30:00+00:00,2,0.17
2014-03-04 04:30:00+00:00,2014-03-04 05:00:00+00:00,0.6,0.17
2014-03-04 05:00:00+00:00,2014-03-04 05:30:00+00:00,0,0.17
2014-03-04 05:30:00+00:00,2014-03-04 06:00:00+00:00,2.8,0.17
2014-03-04 06:00:00+00:00,2014-03-04 06:30:00+00:00,2.8,0.17
2014-03-04 06:30:00+00:00,2014-03-04 07:00:00+00:00,3.2,0.18
2014-03-04 07:00:00+00:00,2014-03-04 07:30:00+00:00,3,0.2
2014-03-04 07:30:00+00:00,2014-03-04 08:00:00+00:00,2.2,0.23
2014-03-04 08:00:00+00:00,2014-03-04 08:30:00+00:00,1.2,0.4
2014-03-04 08:30:00+00:00,2014-03-04 09:00:00+00:00,1.8,0.78
2014-03-04 09:00:00+00:00,2014-03-04 09:30:00+00:00,2,1.02
2014-03-04 09:30:00+00:00,2014-03-04 10:00:00+00:00,1.6,1.13
2014-03-04 10:00:00+00:00,2014-03-04 10:30:00+00:00,1.4,1.04
2014-03-04 10:30:00+00:00,2014-03-04 11:00:00+00:00,1,1
2014-03-04 11:00:00+00:00,2014-03-04 11:30:00+00:00,0.2,1.01
2014-03-04 11:30:00+00:00,2014-03-04 12:00:00+00:00,0.4,1.04
2014-03-04 12:00:00+00:00,2014-03-04 12:30:00+00:00,2.8,1.02
2014-03-04 12:30:00+00:00,2014-03-04 13:00:00+00:00,0.8,0.99
2014-03-04 13:00:00+00:00,2014-03-04 13:30:00+00:00,1.2,0.9
2014-03-04 13:30:00+00:00,2014-03-04 14:00:00+00:00,0,0.82
2014-03-04 14:00:00+00:00,2014-03-04 14:30:00+00:00,0.8,0.89
2014-03-04 14:30:00+00:00,2014-03-04 15:00:00+00:00,1.4,1.02
2014-03-04 15:00:00+00:00,2014-03-04 15:30:00+00:00,0.8,1.08
2014-03-04 15:30:00+00:00,2014-03-04 16:00:00+00:00,0.4,0.98
2014-03-04 16:00:00+00:00,2014-03-04 16:30:00+00:00,0.2,0.91
2014-03-04 16:30:00+00:00,2014-03-04 17:00:00+00:00,0.4,0.89
2014-03-04 17:00:00+00:00,2014-03-04 17:30:00+00:00,0,0.84
2014-03-04 17:30:00+00:00,2014-03-04 18:00:00+00:00,1,0.86
2014-03-04 18:00:00+00:00,2014-03-04 18:30:00+00:00,0,0.79
2014-03-04 18:30:00+00:00,2014-03-04 19:00:00+00:00,0.6,0.68
2014-03-04 19:00:00+00:00,2014-03-04 19:30:00+00:00,1.2,0.61
2014-03-04 19:30:00+00:00,2014-03-04 20:00:00+00:00,1.6,0.6
2014-03-04 20:00:00+00:00,2014-03-04 20:30:00+00:00,0.8,0.6
2014-03-04 20:30:00+00:00,2014-03-04 21:00:00+00:00,1,0.58
2014-03-04 21:00:00+00:00,2014-03-04 21:30:00+00:00,1,0.64
2014-03-04 21:30:00+00:00,2014-03-04 22:00:00+00:00,1,0.81
2014-03-04 22:00:00+00:00,2014-03-04 22:30:00+00:00,1,0.92
2014-03-04 22:30:00+00:00,2014-03-04 23:00:00+00:00,1.2,0.97
2014-03-04 23:00:00+00:00,2014-03-04 23:30:00+00:00,1.2,0.99
2014-03-04 23:30:00+00:00,2014-03-05 00:00:00+00:00,0.8,0.99
2014-03-05 00:00:00+00:00,2014-03-05 00:30:00+00:00,0.4,0.98
2014-03-05 00:30:00+00:00,2014-03-05 01:00:00+00:00,0.2,0.97
2014-03-05 01:00:00+00:00,2014-03-05 01:30:00+00:00,0.2,0.95
2014-03-05 01:30:00+00:00,2014-03-05 02:00:00+00:00,0.6,0.9
2014-03-05 02:00:00+00:00,2014-03-05 02:30:00+00:00,0.4,0.82
2014-03-05 02:30:00+00:00,2014-03-05 03:00:00+00:00,1.6,0.75
2014-03-05 03:00:00+00:00,2014-03-05 03:30:00+00:00,1,0.69
2014-03-05 03:30:00+00:00,2014-03-05 04:00:00+00:00,0.8,0.65
2014-03-05 04:00:00+00:00,2014-03-05 04:30:00+00:00,0.6,0.64
2014-03-05 04:30:00+00:00,2014-03-05 05:00:00+00:00,0.6,0.68
2014-03-05 05:00:00+00:00,2014-03-05 05:30:00+00:00,0.4,0.75
2014-03-05 05:30:00+00:00,2014-03-05 06:00:00+00:00,0.2,0.75
2014-03-05 06:00:00+00:00,2014-03-05 06:30:00+00:00,0,0.73
2014-03-05 06:30:00+00:00,2014-03-05 07:00:00+00:00,0.2,0.7
2014-03-05 07:00:00+00:00,2014-03-05 07:30:00+00:00,0.4,0.67
2014-03-05 07:30:00+00:00,2014-03-05 08:00:00+00:00,0.8,0.65
2014-03-05 08:00:00+00:00,2014-03-05 08:30:00+00:00,0,0.6
2014-03-05 08:30:00+00:00,2014-03-05 09:00:00+00:00,0,0.55
2014-03-05 09:00:00+00:00,2014-03-05 09:30:00+00:00,0,0.52
2014-03-05 09:30:00+00:00,2014-03-05 10:00:00+00:00,0,0.52
2014-03-05 10:00:00+00:00,2014-03-05 10:30:00+00:00,0,0.53
2014-03-05 10:30:00+00:00,2014-03-05 11:00:00+00:00,0,0.51
2014-03-05 11:00:00+00:00,2014-03-05 11:30:00+00:00,0,0.48
2014-03-05 11:30:00+00:00,2014-03-05 12:00:00+00:00,0,0.45
2014-03-05 12:00:00+00:00,2014-03-05 12:30:00+00:00,0,0.43
2014-03-05 12:30:00+00:00,2014-03-05 13:00:00+00:00,0,0.42
2014-03-05 13:00:00+00:00,2014-03-05 13:30:00+00:00,0,0.39
2014-03-05 13:30:00+00:00,2014-03-05 14:00:00+00:00,0,0.38
2014-03-05 14:00:00+00:00,2014-03-05 14:30:00+00:00,0,0.37
2014-03-05 14:30:00+00:00,2014-03-05 15:00:00+00:00,0,0.36
2014-03-05 15:00:00+00:00,2014-03-05 15:30:00+00:00,0,0.35
2014-03-05 15:30:00+00:00,2014-03-05 16:00:00+00:00,0,0.35
2014-03-05 16:00:00+00:00,2014-03-05 16:30:00+00:00,0,0.34
2014-03-05 16:30:00+00:00,2014-03-05 17:00:00+00:00,0,0.33
2014-03-05 17:00:00+00:00,2014-03-05 17:30:00+00:00,0,0.33
2014-03-05 17:30:00+00:00,2014-03-05 18:00:00+00:00,0,0.31
2014-03-05 18:00:00+00:00,2014-03-05 18:30:00+00:00,0,0.3
