Datai,Dataf,P30,Livello
2016-02-16 00:00:00+00:00,2016-02-16 00:30:00+00:00,2.2,0.26
2016-02-16 00:30:00+00:00,2016-02-16 01:00:00+00:00,1,0.25
2016-02-16 01:00:00+00:00,2016-02-16 01:30:00+00:00,1,0.25
2016-02-16 01:30:00+00:00,2016-02-16 02:00:00+00:00,0.8,0.25
2016-02-16 02:00:00+00:00,2016-02-16 02:30:00+00:00,0.4,0.25
2016-02-16 02:30:00+00:00,2016-02-16 03:00:00+00:00,0.2,0.29
2016-02-16 03:00:00+00:00,2016-02-16 03:30:00+00:00,0.4,0.37
2016-02-16 03:30:00+00:00,2016-02-16 04:00:00+00:00,1.4,0.43
2016-02-16 04:00:00+00:00,2016-02-16 04:30:00+00:00,0.8,0.46
2016-02-16 04:30:00+00:00,2016-02-16 05:00:00+00:00,0.8,0.44
2016-02-16 05:00:00+00:00,2016-02-16 05:30:00+00:00,1.2,0.43
2016-02-16 05:30:00+00:00,2016-02-16 06:00:00+00:00,0.4,0.43
2016-02-16 06:00:00+00:00,2016-02-16 06:30:00+00:00,0.2,0.45
2016-02-16 06:30:00+00:00,2016-02-16 07:00:00+00:00,0,0.47
2016-02-16 07:00:00+00:00,2016-02-16 07:30:00+00:00,0.2,0.51
2016-02-16 07:30:00+00:00,2016-02-16 08:00:00+00:00,0,0.51
2016-02-16 08:00:00+00:00,2016-02-16 08:30:00+00:00,0,0.49
2016-02-16 08:30:00+00:00,2016-02-16 09:00:00+00:00,0,0.48
2016-02-16 09:00:00+00:00,2016-02-16 09:30:00+00:00,0,0.44
2016-02-16 09:30:00+00:00,2016-02-16 10:00:00+00:00,0.2,0.4
2016-02-16 10:00:00+00:00,2016-02-16 10:30:00+00:00,0,0.37
2016-02-16 10:30:00+00:00,2016-02-16 11:00:00+00:00,0,0.36
2016-02-16 11:00:00+00:00,2016-02-16 11:30:00+00:00,0,0.34
2016-02-16 11:30:00+00:00,2016-02-16 12:00:00+00:00,0,0.33
2016-02-16 12:00:00+00:00,2016-02-16 12:30:00+00:00,0,0.32
2016-02-16 12:30:00+00:00,2016-02-16 13:00:00+00:00,0.6,0.3
2016-02-16 13:00:00+00:00,2016-02-16 13:30:00+00:00,0.4,0.3
2016-02-16 13:30:00+00:00,2016-02-16 14:00:00+00:00,0.6,0.29
2016-02-16 14:00:00+00:00,2016-02-16 14:30:00+00:00,0.6,0.28
2016-02-16 14:30:00+00:00,2016-02-16 15:00:00+00:00,0.4,0.28
2016-02-16 15:00:00+00:00,2016-02-16 15:30:00+00:00,0.6,0.27
2016-02-16 15:30:00+00:00,2016-02-16 16:00:00+00:00,1,0.27
2016-02-16 16:00:00+00:00,2016-02-16 16:30:00+00:00,1.8,0.28
2016-02-16 16:30:00+00:00,2016-02-16 17:00:00+00:00,1.6,0.3
2016-02-16 17:00:00+00:00,2016-02-16 17:30:00+00:00,1.2,0.33
2016-02-16 17:30:00+00:00,2016-02-16 18:00:00+00:00,1.6,0.37
2016-02-16 18:00:00+00:00,2016-02-16 18:30:00+00:00,0.8,0.43
2016-02-16 18:30:00+00:00,2016-02-16 19:00:00+00:00,1,0.54
2016-02-16 19:00:00+00:00,2016-02-16 19:30:00+00:00,0.4,0.66
2016-02-16 19:30:00+00:00,2016-02-16 20:00:00+00:00,0.4,0.7
2016-02-16 20:00:00+00:00,2016-02-16 20:30:00+00:00,0.4,0.72
2016-02-16 20:30:00+00:00,2016-02-16 21:00:00+00:00,1,0.68
2016-02-16 21:00:00+00:00,2016-02-16 21:30:00+00:00,2.2,0.64
2016-02-16 21:30:00+00:00,2016-02-16 22:00:00+00:00,1.8,0.6
2016-02-16 22:00:00+00:00,2016-02-16 22:30:00+00:00,0.6,0.57
2016-02-16 22:30:00+00:00,2016-02-16 23:00:00+00:00,1.4,0.52
2016-02-16 23:00:00+00:00,2016-02-16 23:30:00+00:00,0.8,0.57
2016-02-16 23:30:00+00:00,2016-02-17 00:00:00+00:00,1.8,0.69
2016-02-17 00:00:00+00:00,2016-02-17 00:30:00+00:00,1.6,0.78
2016-02-17 00:30:00+00:00,2016-02-17 01:00:00+00:00,2,0.76
2016-02-17 01:00:00+00:00,2016-02-17 01:30:00+00:00,3.4,0.75
2016-02-17 01:30:00+00:00,2016-02-17 02:00:00+00:00,2.4,0.76
2016-02-17 02:00:00+00:00,2016-02-17 02:30:00+00:00,1.4,0.82
2016-02-17 02:30:00+00:00,2016-02-17 03:00:00+00:00,1,0.88
2016-02-17 03:00:00+00:00,2016-02-17 03:30:00+00:00,0.8,1
2016-02-17 03:30:00+00:00,2016-02-17 04:00:00+00:00,0.6,1.18
2016-02-17 04:00:00+00:00,2016-02-17 04:30:00+00:00,0.2,1.1
2016-02-17 04:30:00+00:00,2016-02-17 05:00:00+00:00,0.4,1.02
2016-02-17 05:00:00+00:00,2016-02-17 05:30:00+00:00,0.2,0.89
2016-02-17 05:30:00+00:00,2016-02-17 06:00:00+00:00,0,0.81
2016-02-17 06:00:00+00:00,2016-02-17 06:30:00+00:00,0,0.71
2016-02-17 06:30:00+00:00,2016-02-17 07:00:00+00:00,0,0.66
2016-02-17 07:00:00+00:00,2016-02-17 07:30:00+00:00,0.2,0.61
2016-02-17 07:30:00+00:00,2016-02-17 08:00:00+00:00,0,0.56
2016-02-17 08:00:00+00:00,2016-02-17 08:30:00+00:00,0,0.51
2016-02-17 08:30:00+00:00,2016-02-17 09:00:00+00:00,0,0.48
2016-02-17 09:00:00+00:00,2016-02-17 09:30:00+00:00,0,0.45
2016-02-17 09:30:00+00:00,2016-02-17 10:00:00+00:00,0,0.42
2016-02-17 10:00:00+00:00,2016-02-17 10:30:00+00:00,0,0.39
2016-02-17 10:30:00+00:00,2016-02-17 11:00:00+00:00,0,0.36
2016-02-17 11:00:00+00:00,2016-02-17 11:30:00+00:00,0,0.35
2016-02-17 11:30:00+00:00,2016-02-17 12:00:00+00:00,0,0.35
2016-02-17 12:00:00+00:00,2016-02-17 12:30:00+00:00,0,0.33
2016-02-17 12:30:00+00:00,2016-02-17 13:00:00+00:00,0,0.32
2016-02-17 13:00:00+00:00,2016-02-17 13:30:00+00:00,0,0.32
2016-02-17 13:30:00+00:00,2016-02-17 14:00:00+00:00,0.2,0.31
2016-02-17 14:00:00+00:00,2016-02-17 14:30:00+00:00,0,0.3
2016-02-17 14:30:00+00:00,2016-02-17 15:00:00+00:00,0,0.29
2016-02-17 15:00:00+00:00,2016-02-17 15:30:00+00:00,0,0.29
2016-02-17 15:30:00+00:00,2016-02-17 16:00:00+00:00,0,0.28
2016-02-17 16:00:00+00:00,2016-02-17 16:30:00+00:00,0,0.28
2016-02-17 16:30:00+00:00,2016-02-17 17:00:00+00:00,0,0.27
2016-02-17 17:00:00+00:00,2016-02-17 17:30:00+00:00,0,0.27
2016-02-17 17:30:00+00:00,2016-02-17 18:00:00+00:00,0,0.27
2016-02-17 18:00:00+00:00,2016-02-17 18:30:00+00:00,0,0.26
2016-02-17 18:30:00+00:00,2016-02-17 19:00:00+00:00,0,0.26
2016-02-17 19:00:00+00:00,2016-02-17 19:30:00+00:00,0,0.26
2016-02-17 19:30:00+00:00,2016-02-17 20:00:00+00:00,0,0.25
2016-02-17 20:00:00+00:00,2016-02-17 20:30:00+00:00,0,0.25
2016-02-17 20:30:00+00:00,2016-02-17 21:00:00+00:00,0.2,0.25
2016-02-17 21:00:00+00:00,2016-02-17 21:30:00+00:00,0,0.24
2016-02-17 21:30:00+00:00,2016-02-17 22:00:00+00:00,0,0.24
2016-02-17 22:00:00+00:00,2016-02-17 22:30:00+00:00,0,0.24
2016-02-17 22:30:00+00:00,2016-02-17 23:00:00+00:00,0,0.24
2016-02-17 23:00:00+00:00,2016-02-17 23:30:00+00:00,0,0.23
2016-02-17 23:30:00+00:00,2016-02-18 00:00:00+00:00,0,0.23
