Datai,Dataf,P30,Livello
2018-02-06 00:00:00+00:00,2018-02-06 00:30:00+00:00,0,0.47
2018-02-06 00:30:00+00:00,2018-02-06 01:00:00+00:00,0,0.47
2018-02-06 01:00:00+00:00,2018-02-06 01:30:00+00:00,0,0.46
2018-02-06 01:30:00+00:00,2018-02-06 02:00:00+00:00,0,0.46
2018-02-06 02:00:00+00:00,2018-02-06 02:30:00+00:00,0,0.46
2018-02-06 02:30:00+00:00,2018-02-06 03:00:00+00:00,0,0.46
2018-02-06 03:00:00+00:00,2018-02-06 03:30:00+00:00,0,0.46
2018-02-06 03:30:00+00:00,2018-02-06 04:00:00+00:00,0,0.46
2018-02-06 04:00:00+00:00,2018-02-06 04:30:00+00:00,0,0.45
2018-02-06 04:30:00+00:00,2018-02-06 05:00:00+00:00,0,0.46
2018-02-06 05:00:00+00:00,2018-02-06 05:30:00+00:00,0,0.46
2018-02-06 05:30:00+00:00,2018-02-06 06:00:00+00:00,0,0.45
2018-02-06 06:00:00+00:00,2018-02-06 06:30:00+00:00,0,0.45
2018-02-06 06:30:00+00:00,2018-02-06 07:00:00+00:00,0,0.45
2018-02-06 07:00:00+00:00,2018-02-06 07:30:00+00:00,0.8,0.45
2018-02-06 07:30:00+00:00,2018-02-06 08:00:00+00:00,0,0.45
2018-02-06 08:00:00+00:00,2018-02-06 08:30:00+00:00,0,0.44
2018-02-06 08:30:00+00:00,2018-02-06 09:00:00+00:00,0,0.44
2018-02-06 09:00:00+00:00,2018-02-06 09:30:00+00:00,0,0.45
2018-02-06 09:30:00+00:00,2018-02-06 10:00:00+00:00,0,0.45
2018-02-06 10:00:00+00:00,2018-02-06 10:30:00+00:00,0.4,0.44
2018-02-06 10:30:00+00:00,2018-02-06 11:00:00+00:00,0,0.45
2018-02-06 11:00:00+00:00,2018-02-06 11:30:00+00:00,0,0.45
2018-02-06 11:30:00+00:00,2018-02-06 12:00:00+00:00,0,0.45
2018-02-06 12:00:00+00:00,2018-02-06 12:30:00+00:00,0.8,0.45
2018-02-06 12:30:00+00:00,2018-02-06 13:00:00+00:00,1.2,0.45
2018-02-06 13:00:00+00:00,2018-02-06 13:30:00+00:00,1.2,0.46
2018-02-06 13:30:00+00:00,2018-02-06 14:00:00+00:00,1.4,0.47
2018-02-06 14:00:00+00:00,2018-02-06 14:30:00+00:00,1.8,0.48
2018-02-06 14:30:00+00:00,2018-02-06 15:00:00+00:00,1.6,0.49
2018-02-06 15:00:00+00:00,2018-02-06 15:30:00+00:00,1.4,0.52
2018-02-06 15:30:00+00:00,2018-02-06 16:00:00+00:00,0.8,0.64
2018-02-06 16:00:00+00:00,2018-02-06 16:30:00+00:00,1.4,0.78
2018-02-06 16:30:00+00:00,2018-02-06 17:00:00+00:00,2.4,0.88
2018-02-06 17:00:00+00:00,2018-02-06 17:30:00+00:00,2.8,0.94
2018-02-06 17:30:00+00:00,2018-02-06 18:00:00+00:00,3,0.92
2018-02-06 18:00:00+00:00,2018-02-06 18:30:00+00:00,2,0.91
2018-02-06 18:30:00+00:00,2018-02-06 19:00:00+00:00,1.4,1
2018-02-06 19:00:00+00:00,2018-02-06 19:30:00+00:00,0.4,1.08
2018-02-06 19:30:00+00:00,2018-02-06 20:00:00+00:00,0.6,1.1
2018-02-06 20:00:00+00:00,2018-02-06 20:30:00+00:00,1.4,1.14
2018-02-06 20:30:00+00:00,2018-02-06 21:00:00+00:00,1.6,1.18
2018-02-06 21:00:00+00:00,2018-02-06 21:30:00+00:00,0.6,1.1
2018-02-06 21:30:00+00:00,2018-02-06 22:00:00+00:00,0.2,1.01
2018-02-06 22:00:00+00:00,2018-02-06 22:30:00+00:00,0.4,0.94
2018-02-06 22:30:00+00:00,2018-02-06 23:00:00+00:00,0.2,0.91
2018-02-06 23:00:00+00:00,2018-02-06 23:30:00+00:00,0,0.9
2018-02-06 23:30:00+00:00,2018-02-07 00:00:00+00:00,0.2,0.9
2018-02-07 00:00:00+00:00,2018-02-07 00:30:00+00:00,0.2,0.88
2018-02-07 00:30:00+00:00,2018-02-07 01:00:00+00:00,0,0.83
2018-02-07 01:00:00+00:00,2018-02-07 01:30:00+00:00,0.2,0.79
2018-02-07 01:30:00+00:00,2018-02-07 02:00:00+00:00,0.2,0.75
2018-02-07 02:00:00+00:00,2018-02-07 02:30:00+00:00,0,0.73
2018-02-07 02:30:00+00:00,2018-02-07 03:00:00+00:00,0,0.73
2018-02-07 03:00:00+00:00,2018-02-07 03:30:00+00:00,0,0.71
2018-02-07 03:30:00+00:00,2018-02-07 04:00:00+00:00,0,0.7
2018-02-07 04:00:00+00:00,2018-02-07 04:30:00+00:00,0.2,0.69
2018-02-07 04:30:00+00:00,2018-02-07 05:00:00+00:00,0,0.68
2018-02-07 05:00:00+00:00,2018-02-07 05:30:00+00:00,0,0.67
2018-02-07 05:30:00+00:00,2018-02-07 06:00:00+00:00,0.4,0.66
2018-02-07 06:00:00+00:00,2018-02-07 06:30:00+00:00,0.4,0.65
2018-02-07 06:30:00+00:00,2018-02-07 07:00:00+00:00,0.4,0.64
2018-02-07 07:00:00+00:00,2018-02-07 07:30:00+00:00,0.4,0.63
2018-02-07 07:30:00+00:00,2018-02-07 08:00:00+00:00,0.8,0.63
2018-02-07 08:00:00+00:00,2018-02-07 08:30:00+00:00,0.2,0.64
2018-02-07 08:30:00+00:00,2018-02-07 09:00:00+00:00,0,0.64
2018-02-07 09:00:00+00:00,2018-02-07 09:30:00+00:00,0,0.67
2018-02-07 09:30:00+00:00,2018-02-07 10:00:00+00:00,0,0.7
2018-02-07 10:00:00+00:00,2018-02-07 10:30:00+00:00,0,0.72
2018-02-07 10:30:00+00:00,2018-02-07 11:00:00+00:00,0,0.7
2018-02-07 11:00:00+00:00,2018-02-07 11:30:00+00:00,0,0.68
2018-02-07 11:30:00+00:00,2018-02-07 12:00:00+00:00,0,0.66
2018-02-07 12:00:00+00:00,2018-02-07 12:30:00+00:00,0,0.64
2018-02-07 12:30:00+00:00,2018-02-07 13:00:00+00:00,0.2,0.62
2018-02-07 13:00:00+00:00,2018-02-07 13:30:00+00:00,0,0.6
2018-02-07 13:30:00+00:00,2018-02-07 14:00:00+00:00,0.2,0.59
2018-02-07 14:00:00+00:00,2018-02-07 14:30:00+00:00,0.2,0.58
2018-02-07 14:30:00+00:00,2018-02-07 15:00:00+00:00,0,0.57
2018-02-07 15:00:00+00:00,2018-02-07 15:30:00+00:00,0,0.56
2018-02-07 15:30:00+00:00,2018-02-07 16:00:00+00:00,0,0.57
2018-02-07 16:00:00+00:00,2018-02-07 16:30:00+00:00,0,0.58
2018-02-07 16:30:00+00:00,2018-02-07 17:00:00+00:00,0,0.58
2018-02-07 17:00:00+00:00,2018-02-07 17:30:00+00:00,0,0.58
2018-02-07 17:30:00+00:00,2018-02-07 18:00:00+00:00,0,0.57
2018-02-07 18:00:00+00:00,2018-02-07 18:30:00+00:00,0,0.56
2018-02-07 18:30:00+00:00,2018-02-07 19:00:00+00:00,0,0.55
2018-02-07 19:00:00+00:00,2018-02-07 19:30:00+00:00,0,0.55
2018-02-07 19:30:00+00:00,2018-02-07 20:00:00+00:00,0,0.54
2018-02-07 20:00:00+00:00,2018-02-07 20:30:00+00:00,0,0.54
2018-02-07 20:30:00+00:00,2018-02-07 21:00:00+00:00,0,0.53
2018-02-07 21:00:00+00:00,2018-02-07 21:30:00+00:00,0,0.53
2018-02-07 21:30:00+00:00,2018-02-07 22:00:00+00:00,0,0.53
2018-02-07 22:00:00+00:00,2018-02-07 22:30:00+00:00,0,0.51
2018-02-07 22:30:00+00:00,2018-02-07 23:00:00+00:00,0,0.51
2018-02-07 23:00:00+00:00,2018-02-07 23:30:00+00:00,0,0.51
2018-02-07 23:30:00+00:00,2018-02-08 00:00:00+00:00,0,0.5
