Datai,Dataf,P30,Livello
2024-09-17 00:00:00+00:00,2024-09-17 00:30:00+00:00,0,0.08
2024-09-17 00:30:00+00:00,2024-09-17 01:00:00+00:00,0,0.09
2024-09-17 01:00:00+00:00,2024-09-17 01:30:00+00:00,0,0.09
2024-09-17 01:30:00+00:00,2024-09-17 02:00:00+00:00,0.2,0.08
2024-09-17 02:00:00+00:00,2024-09-17 02:30:00+00:00,0.2,0.08
2024-09-17 02:30:00+00:00,2024-09-17 03:00:00+00:00,0,0.09
2024-09-17 03:00:00+00:00,2024-09-17 03:30:00+00:00,0,0.08
2024-09-17 03:30:00+00:00,2024-09-17 04:00:00+00:00,0,0.08
2024-09-17 04:00:00+00:00,2024-09-17 04:30:00+00:00,0,0.08
2024-09-17 04:30:00+00:00,2024-09-17 05:00:00+00:00,0,0.08
2024-09-17 05:00:00+00:00,2024-09-17 05:30:00+00:00,0,0.08
2024-09-17 05:30:00+00:00,2024-09-17 06:00:00+00:00,0,0.08
2024-09-17 06:00:00+00:00,2024-09-17 06:30:00+00:00,0,0.08
2024-09-17 06:30:00+00:00,2024-09-17 07:00:00+00:00,0,0.08
2024-09-17 07:00:00+00:00,2024-09-17 07:30:00+00:00,0,0.09
2024-09-17 07:30:00+00:00,2024-09-17 08:00:00+00:00,0,0.08
2024-09-17 08:00:00+00:00,2024-09-17 08:30:00+00:00,0,0.09
2024-09-17 08:30:00+00:00,2024-09-17 09:00:00+00:00,5,0.09
2024-09-17 09:00:00+00:00,2024-09-17 09:30:00+00:00,0,0.08
2024-09-17 09:30:00+00:00,2024-09-17 10:00:00+00:00,0,0.09
2024-09-17 10:00:00+00:00,2024-09-17 10:30:00+00:00,0,0.07
2024-09-17 10:30:00+00:00,2024-09-17 11:00:00+00:00,0.2,0.08
2024-09-17 11:00:00+00:00,2024-09-17 11:30:00+00:00,0.8,0.08
2024-09-17 11:30:00+00:00,2024-09-17 12:00:00+00:00,2.8,0.08
2024-09-17 12:00:00+00:00,2024-09-17 12:30:00+00:00,3.4,0.1
2024-09-17 12:30:00+00:00,2024-09-17 13:00:00+00:00,1.4,0.08
2024-09-17 13:00:00+00:00,2024-09-17 13:30:00+00:00,1.8,0.08
2024-09-17 13:30:00+00:00,2024-09-17 14:00:00+00:00,3,0.1
2024-09-17 14:00:00+00:00,2024-09-17 14:30:00+00:00,2.6,0.12
2024-09-17 14:30:00+00:00,2024-09-17 15:00:00+00:00,1.4,0.13
2024-09-17 15:00:00+00:00,2024-09-17 15:30:00+00:00,0.2,0.14
2024-09-17 15:30:00+00:00,2024-09-17 16:00:00+00:00,2,0.15
2024-09-17 16:00:00+00:00,2024-09-17 16:30:00+00:00,1.6,0.16
2024-09-17 16:30:00+00:00,2024-09-17 17:00:00+00:00,1.8,0.15
2024-09-17 17:00:00+00:00,2024-09-17 17:30:00+00:00,1.2,0.18
2024-09-17 17:30:00+00:00,2024-09-17 18:00:00+00:00,0.2,0.19
2024-09-17 18:00:00+00:00,2024-09-17 18:30:00+00:00,0.2,0.18
2024-09-17 18:30:00+00:00,2024-09-17 19:00:00+00:00,0,0.18
2024-09-17 19:00:00+00:00,2024-09-17 19:30:00+00:00,0,0.25
2024-09-17 19:30:00+00:00,2024-09-17 20:00:00+00:00,0,0.36
2024-09-17 20:00:00+00:00,2024-09-17 20:30:00+00:00,0,0.38
2024-09-17 20:30:00+00:00,2024-09-17 21:00:00+00:00,0.2,0.39
2024-09-17 21:00:00+00:00,2024-09-17 21:30:00+00:00,0.6,0.39
2024-09-17 21:30:00+00:00,2024-09-17 22:00:00+00:00,0.4,0.37
2024-09-17 22:00:00+00:00,2024-09-17 22:30:00+00:00,1,0.35
2024-09-17 22:30:00+00:00,2024-09-17 23:00:00+00:00,0.6,0.33
2024-09-17 23:00:00+00:00,2024-09-17 23:30:00+00:00,0.4,0.32
2024-09-17 23:30:00+00:00,2024-09-18 00:00:00+00:00,0.2,0.3
2024-09-18 00:00:00+00:00,2024-09-18 00:30:00+00:00,0.4,0.29
2024-09-18 00:30:00+00:00,2024-09-18 01:00:00+00:00,0.4,0.28
2024-09-18 01:00:00+00:00,2024-09-18 01:30:00+00:00,0.6,0.28
2024-09-18 01:30:00+00:00,2024-09-18 02:00:00+00:00,1,0.27
2024-09-18 02:00:00+00:00,2024-09-18 02:30:00+00:00,0.8,0.27
2024-09-18 02:30:00+00:00,2024-09-18 03:00:00+00:00,2.8,0.28
2024-09-18 03:00:00+00:00,2024-09-18 03:30:00+00:00,0.4,0.28
2024-09-18 03:30:00+00:00,2024-09-18 04:00:00+00:00,1,0.31
2024-09-18 04:00:00+00:00,2024-09-18 04:30:00+00:00,1.2,0.32
2024-09-18 04:30:00+00:00,2024-09-18 05:00:00+00:00,0.6,0.32
2024-09-18 05:00:00+00:00,2024-09-18 05:30:00+00:00,3,0.34
2024-09-18 05:30:00+00:00,2024-09-18 06:00:00+00:00,2.4,0.37
2024-09-18 06:00:00+00:00,2024-09-18 06:30:00+00:00,2.6,0.39
2024-09-18 06:30:00+00:00,2024-09-18 07:00:00+00:00,2.2,0.42
2024-09-18 07:00:00+00:00,2024-09-18 07:30:00+00:00,1.2,0.44
2024-09-18 07:30:00+00:00,2024-09-18 08:00:00+00:00,2.8,0.48
2024-09-18 08:00:00+00:00,2024-09-18 08:30:00+00:00,3.4,0.57
2024-09-18 08:30:00+00:00,2024-09-18 09:00:00+00:00,5.4,0.67
2024-09-18 09:00:00+00:00,2024-09-18 09:30:00+00:00,2.4,0.68
2024-09-18 09:30:00+00:00,2024-09-18 10:00:00+00:00,3.2,0.74
2024-09-18 10:00:00+00:00,2024-09-18 10:30:00+00:00,2,0.8
2024-09-18 10:30:00+00:00,2024-09-18 11:00:00+00:00,4,0.91
2024-09-18 11:00:00+00:00,2024-09-18 11:30:00+00:00,3.8,1.01
2024-09-18 11:30:00+00:00,2024-09-18 12:00:00+00:00,0.6,1.01
2024-09-18 12:00:00+00:00,2024-09-18 12:30:00+00:00,2.4,1.03
2024-09-18 12:30:00+00:00,2024-09-18 13:00:00+00:00,0,1.01
2024-09-18 13:00:00+00:00,2024-09-18 13:30:00+00:00,1.4,1.03
2024-09-18 13:30:00+00:00,2024-09-18 14:00:00+00:00,0.2,1.1
