Datai,Dataf,P30,Livello
2013-04-04 00:00:00+00:00,2013-04-04 00:30:00+00:00,0,0.22
2013-04-04 00:30:00+00:00,2013-04-04 01:00:00+00:00,0,0.22
2013-04-04 01:00:00+00:00,2013-04-04 01:30:00+00:00,0,0.23
2013-04-04 01:30:00+00:00,2013-04-04 02:00:00+00:00,0,0.23
2013-04-04 02:00:00+00:00,2013-04-04 02:30:00+00:00,0,0.22
2013-04-04 02:30:00+00:00,2013-04-04 03:00:00+00:00,0,0.22
2013-04-04 03:00:00+00:00,2013-04-04 03:30:00+00:00,0,0.22
2013-04-04 03:30:00+00:00,2013-04-04 04:00:00+00:00,0,0.22
2013-04-04 04:00:00+00:00,2013-04-04 04:30:00+00:00,0,0.22
2013-04-04 04:30:00+00:00,2013-04-04 05:00:00+00:00,0,0.22
2013-04-04 05:00:00+00:00,2013-04-04 05:30:00+00:00,0,0.22
2013-04-04 05:30:00+00:00,2013-04-04 06:00:00+00:00,0,0.22
2013-04-04 06:00:00+00:00,2013-04-04 06:30:00+00:00,0,0.22
2013-04-04 06:30:00+00:00,2013-04-04 07:00:00+00:00,0,0.22
2013-04-04 07:00:00+00:00,2013-04-04 07:30:00+00:00,0,0.22
2013-04-04 07:30:00+00:00,2013-04-04 08:00:00+00:00,0,0.23
2013-04-04 08:00:00+00:00,2013-04-04 08:30:00+00:00,0,0.22
2013-04-04 08:30:00+00:00,2013-04-04 09:00:00+00:00,0,0.22
2013-04-04 09:00:00+00:00,2013-04-04 09:30:00+00:00,0,0.21
2013-04-04 09:30:00+00:00,2013-04-04 10:00:00+00:00,0,0.21
2013-04-04 10:00:00+00:00,2013-04-04 10:30:00+00:00,0,0.2
2013-04-04 10:30:00+00:00,2013-04-04 11:00:00+00:00,0,0.21
2013-04-04 11:00:00+00:00,2013-04-04 11:30:00+00:00,0,0.21
2013-04-04 11:30:00+00:00,2013-04-04 12:00:00+00:00,0,0.21
2013-04-04 12:00:00+00:00,2013-04-04 12:30:00+00:00,0,0.21
2013-04-04 12:30:00+00:00,2013-04-04 13:00:00+00:00,0,0.21
2013-04-04 13:00:00+00:00,2013-04-04 13:30:00+00:00,0,0.21
2013-04-04 13:30:00+00:00,2013-04-04 14:00:00+00:00,0,0.2
2013-04-04 14:00:00+00:00,2013-04-04 14:30:00+00:00,0,0.21
2013-04-04 14:30:00+00:00,2013-04-04 15:00:00+00:00,0,0.21
2013-04-04 15:00:00+00:00,2013-04-04 15:30:00+00:00,0,0.21
2013-04-04 15:30:00+00:00,2013-04-04 16:00:00+00:00,0,0.21
2013-04-04 16:00:00+00:00,2013-04-04 16:30:00+00:00,0,0.21
2013-04-04 16:30:00+00:00,2013-04-04 17:00:00+00:00,0.2,0.21
2013-04-04 17:00:00+00:00,2013-04-04 17:30:00+00:00,0,0.21
2013-04-04 17:30:00+00:00,2013-04-04 18:00:00+00:00,0,0.21
2013-04-04 18:00:00+00:00,2013-04-04 18:30:00+00:00,1.4,0.21
2013-04-04 18:30:00+00:00,2013-04-04 19:00:00+00:00,1.2,0.21
2013-04-04 19:00:00+00:00,2013-04-04 19:30:00+00:00,0.4,0.21
2013-04-04 19:30:00+00:00,2013-04-04 20:00:00+00:00,0.4,0.21
2013-04-04 20:00:00+00:00,2013-04-04 20:30:00+00:00,0.4,0.21
2013-04-04 20:30:00+00:00,2013-04-04 21:00:00+00:00,1.2,0.22
2013-04-04 21:00:00+00:00,2013-04-04 21:30:00+00:00,1.6,0.23
2013-04-04 21:30:00+00:00,2013-04-04 22:00:00+00:00,1.4,0.26
2013-04-04 22:00:00+00:00,2013-04-04 22:30:00+00:00,1.2,0.27
2013-04-04 22:30:00+00:00,2013-04-04 23:00:00+00:00,1.8,0.29
2013-04-04 23:00:00+00:00,2013-04-04 23:30:00+00:00,2.4,0.34
2013-04-04 23:30:00+00:00,2013-04-05 00:00:00+00:00,1.8,0.43
2013-04-05 00:00:00+00:00,2013-04-05 00:30:00+00:00,2.4,0.53
2013-04-05 00:30:00+00:00,2013-04-05 01:00:00+00:00,1.6,0.66
2013-04-05 01:00:00+00:00,2013-04-05 01:30:00+00:00,3.4,0.81
2013-04-05 01:30:00+00:00,2013-04-05 02:00:00+00:00,2.6,0.92
2013-04-05 02:00:00+00:00,2013-04-05 02:30:00+00:00,2.6,1.05
2013-04-05 02:30:00+00:00,2013-04-05 03:00:00+00:00,1.8,1.19
2013-04-05 03:00:00+00:00,2013-04-05 03:30:00+00:00,1.8,1.28
2013-04-05 03:30:00+00:00,2013-04-05 04:00:00+00:00,1.4,1.38
2013-04-05 04:00:00+00:00,2013-04-05 04:30:00+00:00,1.6,1.44
2013-04-05 04:30:00+00:00,2013-04-05 05:00:00+00:00,0,1.41
2013-04-05 05:00:00+00:00,2013-04-05 05:30:00+00:00,0,1.31
2013-04-05 05:30:00+00:00,2013-04-05 06:00:00+00:00,0.2,1.23
2013-04-05 06:00:00+00:00,2013-04-05 06:30:00+00:00,0,1.04
2013-04-05 06:30:00+00:00,2013-04-05 07:00:00+00:00,0.2,0.86
2013-04-05 07:00:00+00:00,2013-04-05 07:30:00+00:00,0,0.74
2013-04-05 07:30:00+00:00,2013-04-05 08:00:00+00:00,0,0.64
2013-04-05 08:00:00+00:00,2013-04-05 08:30:00+00:00,0,0.58
2013-04-05 08:30:00+00:00,2013-04-05 09:00:00+00:00,0,0.54
2013-04-05 09:00:00+00:00,2013-04-05 09:30:00+00:00,0,0.51
2013-04-05 09:30:00+00:00,2013-04-05 10:00:00+00:00,0,0.48
2013-04-05 10:00:00+00:00,2013-04-05 10:30:00+00:00,0.2,0.45
2013-04-05 10:30:00+00:00,2013-04-05 11:00:00+00:00,0,0.44
2013-04-05 11:00:00+00:00,2013-04-05 11:30:00+00:00,0,0.42
2013-04-05 11:30:00+00:00,2013-04-05 12:00:00+00:00,0,0.42
2013-04-05 12:00:00+00:00,2013-04-05 12:30:00+00:00,0,0.4
2013-04-05 12:30:00+00:00,2013-04-05 13:00:00+00:00,0,0.41
2013-04-05 13:00:00+00:00,2013-04-05 13:30:00+00:00,0,0.4
2013-04-05 13:30:00+00:00,2013-04-05 14:00:00+00:00,0.2,0.4
