Datai,Dataf,P30,Livello
2014-01-30 00:00:00+00:00,2014-01-30 00:30:00+00:00,0,0.25
2014-01-30 00:30:00+00:00,2014-01-30 01:00:00+00:00,0,0.25
2014-01-30 01:00:00+00:00,2014-01-30 01:30:00+00:00,0,0.24
2014-01-30 01:30:00+00:00,2014-01-30 02:00:00+00:00,0,0.24
2014-01-30 02:00:00+00:00,2014-01-30 02:30:00+00:00,0,0.24
2014-01-30 02:30:00+00:00,2014-01-30 03:00:00+00:00,0,0.23
2014-01-30 03:00:00+00:00,2014-01-30 03:30:00+00:00,0,0.23
2014-01-30 03:30:00+00:00,2014-01-30 04:00:00+00:00,0,0.23
2014-01-30 04:00:00+00:00,2014-01-30 04:30:00+00:00,1.4,0.23
2014-01-30 04:30:00+00:00,2014-01-30 05:00:00+00:00,1.8,0.23
2014-01-30 05:00:00+00:00,2014-01-30 05:30:00+00:00,0.6,0.22
2014-01-30 05:30:00+00:00,2014-01-30 06:00:00+00:00,0.6,0.23
2014-01-30 06:00:00+00:00,2014-01-30 06:30:00+00:00,1.4,0.23
2014-01-30 06:30:00+00:00,2014-01-30 07:00:00+00:00,1.4,0.24
2014-01-30 07:00:00+00:00,2014-01-30 07:30:00+00:00,1,0.28
2014-01-30 07:30:00+00:00,2014-01-30 08:00:00+00:00,0,0.35
2014-01-30 08:00:00+00:00,2014-01-30 08:30:00+00:00,0.8,0.4
2014-01-30 08:30:00+00:00,2014-01-30 09:00:00+00:00,0.4,0.5
2014-01-30 09:00:00+00:00,2014-01-30 09:30:00+00:00,0.6,0.59
2014-01-30 09:30:00+00:00,2014-01-30 10:00:00+00:00,0.4,0.58
2014-01-30 10:00:00+00:00,2014-01-30 10:30:00+00:00,0.2,0.53
2014-01-30 10:30:00+00:00,2014-01-30 11:00:00+00:00,0.6,0.53
2014-01-30 11:00:00+00:00,2014-01-30 11:30:00+00:00,1.4,0.54
2014-01-30 11:30:00+00:00,2014-01-30 12:00:00+00:00,1.4,0.53
2014-01-30 12:00:00+00:00,2014-01-30 12:30:00+00:00,1,0.52
2014-01-30 12:30:00+00:00,2014-01-30 13:00:00+00:00,0.8,0.52
2014-01-30 13:00:00+00:00,2014-01-30 13:30:00+00:00,1.2,0.54
2014-01-30 13:30:00+00:00,2014-01-30 14:00:00+00:00,1.2,0.65
2014-01-30 14:00:00+00:00,2014-01-30 14:30:00+00:00,0.4,0.71
2014-01-30 14:30:00+00:00,2014-01-30 15:00:00+00:00,0.6,0.72
2014-01-30 15:00:00+00:00,2014-01-30 15:30:00+00:00,1.4,0.78
2014-01-30 15:30:00+00:00,2014-01-30 16:00:00+00:00,1.6,0.76
2014-01-30 16:00:00+00:00,2014-01-30 16:30:00+00:00,0.8,0.72
2014-01-30 16:30:00+00:00,2014-01-30 17:00:00+00:00,0.4,0.69
2014-01-30 17:00:00+00:00,2014-01-30 17:30:00+00:00,0.8,0.69
2014-01-30 17:30:00+00:00,2014-01-30 18:00:00+00:00,1.2,0.75
2014-01-30 18:00:00+00:00,2014-01-30 18:30:00+00:00,1.2,0.78
2014-01-30 18:30:00+00:00,2014-01-30 19:00:00+00:00,0.4,0.75
2014-01-30 19:00:00+00:00,2014-01-30 19:30:00+00:00,0.2,0.7
2014-01-30 19:30:00+00:00,2014-01-30 20:00:00+00:00,1,0.7
2014-01-30 20:00:00+00:00,2014-01-30 20:30:00+00:00,0.2,0.77
2014-01-30 20:30:00+00:00,2014-01-30 21:00:00+00:00,0.2,0.77
2014-01-30 21:00:00+00:00,2014-01-30 21:30:00+00:00,0.2,0.71
2014-01-30 21:30:00+00:00,2014-01-30 22:00:00+00:00,0.4,0.64
2014-01-30 22:00:00+00:00,2014-01-30 22:30:00+00:00,0.4,0.62
