Datai,Dataf,P30,Livello
2024-10-19 00:00:00+00:00,2024-10-19 00:30:00+00:00,0,0.35
2024-10-19 00:30:00+00:00,2024-10-19 01:00:00+00:00,0,0.35
2024-10-19 01:00:00+00:00,2024-10-19 01:30:00+00:00,0,0.35
2024-10-19 01:30:00+00:00,2024-10-19 02:00:00+00:00,0,0.35
2024-10-19 02:00:00+00:00,2024-10-19 02:30:00+00:00,0,0.35
2024-10-19 02:30:00+00:00,2024-10-19 03:00:00+00:00,0,0.35
2024-10-19 03:00:00+00:00,2024-10-19 03:30:00+00:00,0,0.35
2024-10-19 03:30:00+00:00,2024-10-19 04:00:00+00:00,0,0.34
2024-10-19 04:00:00+00:00,2024-10-19 04:30:00+00:00,0.2,0.34
2024-10-19 04:30:00+00:00,2024-10-19 05:00:00+00:00,0.2,0.34
2024-10-19 05:00:00+00:00,2024-10-19 05:30:00+00:00,0,0.34
2024-10-19 05:30:00+00:00,2024-10-19 06:00:00+00:00,0,0.34
2024-10-19 06:00:00+00:00,2024-10-19 06:30:00+00:00,0,0.34
2024-10-19 06:30:00+00:00,2024-10-19 07:00:00+00:00,0,0.33
2024-10-19 07:00:00+00:00,2024-10-19 07:30:00+00:00,0,0.34
2024-10-19 07:30:00+00:00,2024-10-19 08:00:00+00:00,0.2,0.34
2024-10-19 08:00:00+00:00,2024-10-19 08:30:00+00:00,0.2,0.33
2024-10-19 08:30:00+00:00,2024-10-19 09:00:00+00:00,0,0.34
2024-10-19 09:00:00+00:00,2024-10-19 09:30:00+00:00,0.2,0.33
2024-10-19 09:30:00+00:00,2024-10-19 10:00:00+00:00,0,0.33
2024-10-19 10:00:00+00:00,2024-10-19 10:30:00+00:00,0.2,0.33
2024-10-19 10:30:00+00:00,2024-10-19 11:00:00+00:00,0.6,0.33
2024-10-19 11:00:00+00:00,2024-10-19 11:30:00+00:00,0.8,0.34
2024-10-19 11:30:00+00:00,2024-10-19 12:00:00+00:00,5,0.33
2024-10-19 12:00:00+00:00,2024-10-19 12:30:00+00:00,4,0.34
2024-10-19 12:30:00+00:00,2024-10-19 13:00:00+00:00,2.6,0.34
2024-10-19 13:00:00+00:00,2024-10-19 13:30:00+00:00,2,0.34
2024-10-19 13:30:00+00:00,2024-10-19 14:00:00+00:00,0.8,0.4
2024-10-19 14:00:00+00:00,2024-10-19 14:30:00+00:00,1.4,0.67
